 Y [ m ], Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.009625,0.00000000,0
0.00963081,0.00000000,0
0.00963661,0.00000000,0
0.00964242,0.00000000,0
0.00964822,0.00000000,0
0.00965403,0.00000000,0
0.00965984,0.00000000,0
0.00966564,0.00000000,0
0.00967145,0.00000000,0
0.00967725,0.00000000,0
0.00968306,0.00000000,0
0.00968886,0.00000000,0
0.00969467,0.00000000,0
0.00970048,0.00000000,0
0.00970628,0.00000000,0
0.00971209,0.00000000,0
0.00971789,0.00000000,0
0.0097237,0.00000000,0
0.00972951,0.00000000,0
0.00973531,0.00000000,0
0.00974112,0.00000000,0
0.00974692,0.00000000,0
0.00975273,0.00000000,0
0.00975853,0.00000000,0
0.00976434,0.00000000,0
0.00977015,0.00000000,0
0.00977595,0.00000000,0
0.00978176,0.00000000,0
0.00978756,0.00000000,0
0.00979337,0.00000000,0
0.00979918,0.00000000,0
0.00980498,0.00000000,0
0.00981079,0.00000000,0
0.00981659,0.00000000,0
0.0098224,0.00000000,0
0.00982821,0.00000000,0
0.00983401,0.00000000,0
0.00983982,0.00000000,0
0.00984562,0.00000000,0
0.00985143,0.00000000,0
0.00985723,0.00000000,0
0.00986304,0.00000000,0
0.00986885,0.00000000,0
0.00987465,0.00000000,0
0.00988046,0.00000000,0
0.00988626,0.00000000,0
0.00989207,0.00000000,0
0.00989788,0.00000000,0
0.00990368,0.00000000,0
0.00990949,0.00000000,0
0.00991529,0.00000000,0
0.0099211,0.00000000,0
0.0099269,0.00000000,0
0.00993271,0.00000000,0
0.00993852,0.00000000,0
0.00994432,0.00000000,0
0.00995013,0.00000000,0
0.00995593,0.00000000,0
0.00996174,0.00000000,0
0.00996755,0.00000000,0
0.00997335,0.00000000,0
0.00997916,0.00000000,0
0.00998496,0.00000000,0
0.00999077,0.00000000,0
0.00999658,0.00000000,0
0.01000238,0.00000000,0
0.01000819,0.00000000,0
0.01001399,0.00000000,0
0.0100198,0.00000000,0
0.0100256,0.00000000,0
0.01003141,0.00000000,0
0.01003722,0.00000000,0
0.01004302,0.00000000,0
0.01004883,0.00000000,0
0.01005463,0.00000000,0
0.01006044,0.00000000,0
0.01006625,0.00000000,0
0.01007205,0.00000000,0
0.01007786,0.00000000,0
0.01008366,0.00000000,0
0.01008947,0.00000000,0
0.01009528,0.00000000,0
0.01010108,0.00000000,0
0.01010689,0.00000000,0
0.01011269,0.00000000,0
0.0101185,0.00000000,0
0.0101243,0.00000000,0
0.01013011,0.00000000,0
0.01013592,0.00000000,0
0.01014172,0.00000000,0
0.01014753,0.00000000,0
0.01015333,0.00000000,0
0.01015914,0.00000000,0
0.01016495,0.00000000,0
0.01017075,0.00000000,0
0.01017656,0.00000000,0
0.01018236,0.00000000,0
0.01018817,0.00000000,0
0.01019397,0.00000000,0
0.01019978,0.00000000,0
0.01020559,0.00000000,0
0.01021139,0.00000000,0
0.0102172,0.00000000,0
0.010223,0.00000000,0
0.01022881,0.00000000,0
0.01023462,0.00000000,0
0.01024042,0.00000000,0
0.01024623,0.00000000,0
0.01025203,0.00000000,0
0.01025784,0.00000000,0
0.01026365,0.00000000,0
0.01026945,0.00000000,0
0.01027526,0.00000000,0
0.01028106,0.00000000,0
0.01028687,0.00000000,0
0.01029267,0.00000000,0
0.01029848,0.00000000,0
0.01030429,0.00000000,0
0.01031009,0.00000000,0
0.0103159,0.00000000,0
0.0103217,0.00000000,0
0.01032751,0.00000000,0
0.01033332,0.00000000,0
0.01033912,0.00000000,0
0.01034493,0.00000000,0
0.01035073,0.00000000,0
0.01035654,0.00000000,0
0.01036234,0.00000000,0
0.01036815,0.00000000,0
0.01037396,0.00000000,0
0.01037976,0.00000000,0
0.01038557,0.00000000,0
0.01039137,0.00000000,0
0.01039718,0.00000000,0
0.01040299,0.00000000,0
0.01040879,0.00000000,0
0.0104146,0.00000000,0
0.0104204,0.00000000,0
0.01042621,0.46166116,0.4559769
0.01043202,0.48622096,0.48049527
0.01043782,0.51087451,0.50511003
0.01044363,0.53594816,0.5303368
0.01044943,0.56132513,0.55599487
0.01045524,0.58677453,0.5817284
0.01046104,0.61228728,0.60752797
0.01046685,0.63785577,0.63338536
0.01047266,0.66347361,0.65929371
0.01047846,0.68913525,0.68524748
0.01048427,0.71483606,0.71124148
0.01049007,0.74057174,0.73727161
0.01049588,0.76633900,0.7633341
0.01050169,0.79213476,0.78942573
0.01050749,0.81148815,0.80902094
0.0105133,0.82710552,0.82484901
0.0105191,0.84275180,0.84070647
0.01052491,0.85842514,0.85659158
0.01053071,0.87412423,0.87250268
0.01053652,0.88984758,0.88843876
0.01054233,0.90559405,0.90439808
0.01054813,0.92136234,0.92037964
0.01055394,0.93715155,0.93638235
0.01055974,0.95184869,0.95131195
0.01056555,0.96451443,0.96424443
0.01057136,0.97719032,0.97718745
0.01057716,0.98987591,0.99014044
0.01058297,1.00257063,1.00310302
0.01058877,1.01527441,1.0160749
0.01059458,1.02798688,1.02905571
0.01060039,1.04070771,1.042045
0.01060619,1.05343664,1.05504262
0.010612,1.06617308,1.06804812
0.0106178,1.07858944,1.08072698
0.01062361,1.08706069,1.08947909
0.01062941,1.09542203,1.09811473
0.01063522,1.10380483,1.10677183
0.01064103,1.11220896,1.11544991
0.01064683,1.12063336,1.12414849
0.01065264,1.12907815,1.13286722
0.01065844,1.13771605,1.14178073
0.01066425,1.14314640,1.14738476
0.01067006,1.14868748,1.15309894
0.01067586,1.15423441,1.15881872
0.01068167,1.15978718,1.16454434
0.01068747,1.16534555,1.17027557
0.01069328,1.17090940,1.17601204
0.01069908,1.17647886,1.18175399
0.01070489,1.18205369,1.18750131
0.0107107,1.18763375,1.19325399
0.0107165,1.19321918,1.19901168
0.01072231,1.19880986,1.2047745
0.01072811,1.20440555,1.21054232
0.01073392,1.21000636,1.21631527
0.01073973,1.21561193,1.22209287
0.01074553,1.22122264,1.22787547
0.01075134,1.22683835,1.23366284
0.01075714,1.23245847,1.23945475
0.01076295,1.23805451,1.24522603
0.01076876,1.24356520,1.25092399
0.01077456,1.24908113,1.25662708
0.01078037,1.25356042,1.26120162
0.01078617,1.25712657,1.26473784
0.01079198,1.26055241,1.26809108
0.01079778,1.26398027,1.27144647
0.01080359,1.26741028,1.27480376
0.0108094,1.27084219,1.27816296
0.0108152,1.27427638,1.28152442
0.01082101,1.27771246,1.28488767
0.01082681,1.28115058,1.28825295
0.01083262,1.28459072,1.29162025
0.01083843,1.28803265,1.29498935
0.01084423,1.29147673,1.29836035
0.01085004,1.29492259,1.30173337
0.01085584,1.29837048,1.30510819
0.01086165,1.30182028,1.30848503
0.01086746,1.30527186,1.31186366
0.01087326,1.30872560,1.31524396
0.01087907,1.31217670,1.31862211
0.01088487,1.31417465,1.32041216
0.01089068,1.31606281,1.32207048
0.01089648,1.31788731,1.32365215
0.01090229,1.31971276,1.32523489
0.0109081,1.32153940,1.3268187
0.0109139,1.32336700,1.32840359
0.01091971,1.32519567,1.32998955
0.01092551,1.32702565,1.33157659
0.01093132,1.32885647,1.33316457
0.01093713,1.33068848,1.33475375
0.01094293,1.33252144,1.33634388
0.01094874,1.33435547,1.33793545
0.01095454,1.33615911,1.3394959
0.01096035,1.33709204,1.340186
0.01096615,1.33802593,1.3408767
0.01097196,1.33895993,1.34156799
0.01097777,1.33989501,1.34226012
0.01098357,1.34083056,1.34295261
0.01098938,1.34176672,1.34364593
0.01099518,1.34270346,1.34433985
0.01100099,1.34364092,1.34503448
0.0110068,1.34457886,1.34572947
0.0110126,1.34551775,1.34642541
0.01101841,1.34645689,1.34712195
0.01102421,1.34736550,1.34779179
0.01103002,1.34818697,1.34838617
0.01103583,1.34900904,1.34898114
0.01104163,1.34983170,1.34957671
0.01104744,1.35010111,1.34965909
0.01105324,1.35016167,1.34954786
0.01105905,1.35022283,1.34943688
0.01106485,1.35028434,1.34932661
0.01107066,1.35034633,1.3492167
0.01107647,1.35037553,1.34909081
0.01108227,1.35040164,1.34896338
0.01108808,1.35042810,1.34883654
0.01109388,1.35045516,1.34871042
0.01109969,1.35048294,1.34858465
0.0111055,1.35051119,1.34845972
0.0111113,1.35053980,1.34833515
0.01111711,1.35056925,1.34821117
0.01112291,1.35059905,1.34808779
0.01112872,1.35062933,1.34796488
0.01113452,1.35024667,1.34750581
0.01114033,1.34984112,1.34702837
0.01114614,1.34943593,1.34655118
0.01115194,1.34903133,1.34607446
0.01115775,1.34862721,1.3455981
0.01116355,1.34822321,1.34512222
0.01116936,1.34780765,1.34463108
0.01117517,1.34736443,1.34410548
0.01118097,1.34692192,1.34358025
0.01118678,1.34647965,1.34305549
0.01119258,1.34603798,1.3425312
0.01119839,1.34559667,1.3420074
0.0112042,1.34515584,1.34148383
0.01121,1.34471548,1.34096086
0.01121581,1.34403741,1.34026241
0.01122161,1.34333241,1.33954406
0.01122742,1.34262753,1.33882606
0.01123322,1.34192324,1.33810842
0.01123903,1.34121895,1.33739114
0.01124484,1.34051526,1.33667409
0.01125064,1.33981395,1.33596087
0.01125645,1.33913112,1.33527923
0.01126225,1.33844829,1.33459806
0.01126806,1.33776629,1.33391714
0.01127387,1.33708453,1.33323681
0.01127967,1.33640325,1.33255672
0.01128548,1.33572233,1.33187699
0.01129128,1.33504176,1.33119786
0.01129709,1.33436167,1.33051896
0.01130289,1.33367276,1.32983756
0.0113087,1.33293307,1.32914066
0.01131451,1.33219385,1.328444
0.01132031,1.33145475,1.3277477
0.01132612,1.33071625,1.32705164
0.01133192,1.32997787,1.32635581
0.01133773,1.32923985,1.32566059
0.01134354,1.32850230,1.32496536
0.01134934,1.32776475,1.32427061
0.01135515,1.32702768,1.32357609
0.01136095,1.32629097,1.32288194
0.01136676,1.32553995,1.32216966
0.01137257,1.32476389,1.3214258
0.01137837,1.32398820,1.32068205
0.01138418,1.32321298,1.31993878
0.01138998,1.32243800,1.31919587
0.01139579,1.32167220,1.31846583
0.01140159,1.32095146,1.31779754
0.0114074,1.32023096,1.31712961
0.01141321,1.31951070,1.31646192
0.01141901,1.31879079,1.31579459
0.01142482,1.31807113,1.31512737
0.01143062,1.31737530,1.31448317
0.01143643,1.31668496,1.31384397
0.01144224,1.31599510,1.31320512
0.01144804,1.31530547,1.31256664
0.01145385,1.31461608,1.31192851
0.01145965,1.31392705,1.31129062
0.01146546,1.31323838,1.31065309
0.01147126,1.31254983,1.31001568
0.01147707,1.31186187,1.30937862
0.01148288,1.31117404,1.30874193
0.01148868,1.31051457,1.30813301
0.01149449,1.30991113,1.30757868
0.01150029,1.30930805,1.30702472
0.0115061,1.30870521,1.30647111
0.01151191,1.30810249,1.3059175
0.01151771,1.30750012,1.30536425
0.01152352,1.30689788,1.30481124
0.01152932,1.30629599,1.30425859
0.01153513,1.30569434,1.30370593
0.01154094,1.30509293,1.30315351
0.01154674,1.30449164,1.3026017
0.01155255,1.30389082,1.30204976
0.01155835,1.30326653,1.30147564
0.01156416,1.30262959,1.30088961
0.01156996,1.30199301,1.30030394
0.01157577,1.30135667,1.29971838
0.01158158,1.30081856,1.29921925
0.01158738,1.30028105,1.29872048
0.01159319,1.29974365,1.29822195
0.01159899,1.29922318,1.29773808
0.0116048,1.29871500,1.29726422
0.01161061,1.29820693,1.29679072
0.01161641,1.29769897,1.29631722
0.01162222,1.29719150,1.29584432
0.01162802,1.29668403,1.29537129
0.01163383,1.29617691,1.29489875
0.01163964,1.29567015,1.29442632
0.01164544,1.29516339,1.29395413
0.01165125,1.29465723,1.29348218
0.01165705,1.29415107,1.29301047
0.01166286,1.29371774,1.29259968
0.01166866,1.29329705,1.29219937
0.01167447,1.29287636,1.29179919
0.01168028,1.29245603,1.29139948
0.01168608,1.29203594,1.29099989
0.01169189,1.29161620,1.29060042
0.01169769,1.29119635,1.29020119
0.0117035,1.29077697,1.28980219
0.01170931,1.29035747,1.2894032
0.01171511,1.28993857,1.28900468
0.01172092,1.28951991,1.28860629
0.01172672,1.28910112,1.28820801
0.01173253,1.28867185,1.28780007
0.01173833,1.28822613,1.28737736
0.01174414,1.28778160,1.28695524
0.01174995,1.28740716,1.28659308
0.01175575,1.28703678,1.28623426
0.01176156,1.28668368,1.28588939
0.01176736,1.28633046,1.28554475
0.01177317,1.28597760,1.28520048
0.01177898,1.28562510,1.2848562
0.01178478,1.28527272,1.2845124
0.01179059,1.28492069,1.2841686
0.01179639,1.28456867,1.28382504
0.0118022,1.28421676,1.2834816
0.01180801,1.28386533,1.28313851
0.01181381,1.28351390,1.28279555
0.01181962,1.28316271,1.28245282
0.01182542,1.28281188,1.28211045
0.01183123,1.28249955,1.28180003
0.01183703,1.28221655,1.28151405
0.01184284,1.28193378,1.28122842
0.01184865,1.28165126,1.28094292
0.01185445,1.28136885,1.28065753
0.01186026,1.28108668,1.2803725
0.01186606,1.28080463,1.28008747
0.01187187,1.28052282,1.27980268
0.01187768,1.28024113,1.27951813
0.01188348,1.27995956,1.27923369
0.01188929,1.27967846,1.2789495
0.01189509,1.27939725,1.2786653
0.0119009,1.27911627,1.27838147
0.0119067,1.27883565,1.27809775
0.01191251,1.27855492,1.27781415
0.01191832,1.27829933,1.27755404
0.01192412,1.27806222,1.27731204
0.01192993,1.27782547,1.27707005
0.01193573,1.27758861,1.27682817
0.01194154,1.27735221,1.27658653
0.01194735,1.27711582,1.27634513
0.01195315,1.27687967,1.27610397
0.01195896,1.27664375,1.27586293
0.01196476,1.27640796,1.27562213
0.01197057,1.27617252,1.27538133
0.01197638,1.27593696,1.27514088
0.01198218,1.27570164,1.27490044
0.01198799,1.27546656,1.27466035
0.01199379,1.27523184,1.27442038
0.0119996,1.27499723,1.27418065
0.0120054,1.27476251,1.27394092
0.01201121,1.27452827,1.27370155
0.01201702,1.27432466,1.27349293
0.01202282,1.27413738,1.27330101
0.01202863,1.27395058,1.27310932
0.01203443,1.27376401,1.27291787
0.01204024,1.27357745,1.27272642
0.01204605,1.27339113,1.27253532
0.01205185,1.27320492,1.27234435
0.01205766,1.27301896,1.27215338
0.01206346,1.27283311,1.27196276
0.01206927,1.27264750,1.27177215
0.01207507,1.27246189,1.27158177
0.01208088,1.27227664,1.27139175
0.01208669,1.27210033,1.27121067
0.01209249,1.27192914,1.27103508
0.0120983,1.27175808,1.27085948
0.0121041,1.27158737,1.27068448
0.01210991,1.27142417,1.27051723
0.01211572,1.27128398,1.27037418
0.01212152,1.27114415,1.27023137
0.01212733,1.27100432,1.27008867
0.01213313,1.27086473,1.26994622
0.01213894,1.27071750,1.26979589
0.01214475,1.27056420,1.26963925
0.01215055,1.27041078,1.26948273
0.01215636,1.27025783,1.26932657
0.01216216,1.27010500,1.2691704
0.01216797,1.26995218,1.2690146
0.01217377,1.26979959,1.26885867
0.01217958,1.26964736,1.2687031
0.01218539,1.26949525,1.26854765
0.01219119,1.26934314,1.26839244
0.012197,1.26922441,1.26827061
0.0122028,1.26911330,1.26815641
0.01220861,1.26900232,1.26804233
0.01221442,1.26889145,1.26792836
0.01222022,1.26878083,1.26781476
0.01222603,1.26867020,1.26770115
0.01223183,1.26856005,1.2675879
0.01223764,1.26844990,1.26747453
0.01224345,1.26833975,1.26736152
0.01224925,1.26823008,1.26724863
0.01225506,1.26811969,1.26713514
0.01226086,1.26800060,1.26701164
0.01226667,1.26790595,1.26691246
0.01227247,1.26782191,1.26682365
0.01227828,1.26773751,1.26673436
0.01228409,1.26765132,1.26664376
0.01228989,1.26756537,1.26655328
0.0122957,1.26747942,1.2664628
0.0123015,1.26739383,1.2663728
0.01230731,1.26730835,1.2662828
0.01231312,1.26722300,1.26619267
0.01231892,1.26713777,1.26610303
0.01232473,1.26705277,1.2660135
0.01233053,1.26697707,1.26593339
0.01233634,1.26692104,1.26587391
0.01234214,1.26686502,1.26581466
0.01234795,1.26680923,1.26575542
0.01235376,1.26675367,1.26569641
0.01235956,1.26669800,1.2656374
0.01236537,1.26663494,1.26557159
0.01237117,1.26657200,1.26550591
0.01237698,1.26650906,1.26544058
0.01238279,1.26644647,1.26537514
0.01238859,1.26638389,1.26531005
0.0123944,1.26632130,1.26524472
0.0124002,1.26628435,1.2652086
0.01240601,1.26624715,1.26517248
0.01241182,1.26621008,1.26513636
0.01241762,1.26617324,1.26510036
0.01242343,1.26613641,1.2650646
0.01242923,1.26609993,1.26502907
0.01243504,1.26606345,1.26499355
0.01244084,1.26602733,1.26495838
0.01244665,1.26599109,1.26492321
0.01245246,1.26595521,1.26488817
0.01245826,1.26591861,1.26485288
0.01246407,1.26589322,1.26482904
0.01246987,1.26587844,1.264817
0.01247568,1.26586282,1.26480424
0.01248149,1.26584768,1.26479161
0.01248729,1.26583242,1.26477921
0.0124931,1.26581740,1.26476693
0.0124989,1.26580262,1.26475477
0.01250471,1.26578784,1.26474285
0.01251051,1.26577330,1.26473117
0.01251632,1.26575899,1.26471949
