Z [ m ],Velocity [ m s^-1 ]
0.0620324984,0.3494383990
0.0619704053,0.3493350740
0.0619083121,0.3492317200
0.0618462190,0.3491284550
0.0617841259,0.3490251600
0.0617220327,0.3489218650
0.0616599396,0.3488186000
0.0615978464,0.3487152460
0.0615357533,0.3486119210
0.0614736602,0.3485086260
0.0614115670,0.3484053610
0.0613494739,0.3483020370
0.0612873808,0.3481987710
0.0612252876,0.3482831720
0.0611631945,0.3488658070
0.0611011013,0.3493380840
0.0610390082,0.3494265380
0.0609769151,0.3495149610
0.0609148219,0.3496033850
0.0608527288,0.3496918380
0.0607906356,0.3497860730
0.0607285425,0.3498505060
0.0606664494,0.3499197960
0.0606043562,0.3499891160
0.0605422631,0.3500583770
0.0604801700,0.3501276670
0.0604180768,0.3501969870
0.0603559837,0.3502662780
0.0602938905,0.3503355680
0.0602317974,0.3503313060
0.0601697043,0.3493696150
0.0601076111,0.3484079840
0.0600455180,0.3495328720
0.0599834248,0.3514089880
0.0599213317,0.3532850440
0.0598592386,0.3551611300
0.0597971454,0.3570372460
0.0597350523,0.3589134220
0.0596729591,0.3607894480
0.0596108660,0.3626655640
0.0595487729,0.3641126450
0.0594866797,0.3651625810
0.0594245866,0.3662126060
0.0593624935,0.3672626020
0.0593004003,0.3683125670
0.0592383072,0.3693625630
0.0591762140,0.3704125880
0.0591141209,0.3714626130
0.0590520278,0.3725126390
0.0589899346,0.3735626640
0.0589278415,0.3745160100
0.0588657483,0.3748877350
0.0588036552,0.3749780360
0.0587415621,0.3750682770
0.0586794689,0.3753847480
0.0586173758,0.3756788970
0.0585552827,0.3755674660
0.0584931895,0.3754561250
0.0584310964,0.3753446940
0.0583690032,0.3752333520
0.0583069101,0.3747064770
0.0582448170,0.3740186690
0.0581827238,0.3733309810
0.0581206307,0.3726431430
0.0580585375,0.3719554250
0.0579964444,0.3712676760
0.0579343513,0.3705798690
0.0578722581,0.3698921500
0.0578101650,0.3692044320
0.0577480718,0.3685167130
0.0576859787,0.3678289950
0.0576238856,0.3671412470
0.0575617924,0.3664535880
0.0574996993,0.3657658700
0.0574376062,0.3650781510
0.0573755130,0.3643904630
0.0573134199,0.3644115030
0.0572513267,0.3664822280
0.0571892336,0.3685529530
0.0571271405,0.3706237380
0.0570650473,0.3726945520
0.0570029542,0.3747653960
0.0569408610,0.3768363000
0.0568787679,0.3789072630
0.0568166748,0.3809781970
0.0567545816,0.3830492200
0.0566924885,0.3851203020
0.0566303954,0.3871913550
0.0565683022,0.3892624970
0.0565062091,0.3913336400
0.0564441159,0.3934048410
0.0563820228,0.3954761030
0.0563199297,0.3975473340
0.0562578365,0.3996186260
0.0561957434,0.4016899760
0.0561336502,0.4037613870
0.0560715571,0.4053975940
0.0560094640,0.4066469670
0.0559473708,0.4078963400
0.0558852777,0.4091457720
0.0558231845,0.4103952650
0.0557610914,0.4116447570
0.0556989983,0.4128943680
0.0556369051,0.4141439800
0.0555748120,0.4160273670
0.0555127189,0.4186288420
0.0554506257,0.4212304060
0.0553885326,0.4228295680
0.0553264394,0.4239538610
0.0552643463,0.4250781830
0.0552022532,0.4262025060
0.0551401600,0.4273269180
0.0550780669,0.4284513590
0.0550159737,0.4295758310
0.0549538806,0.4307003020
0.0548917875,0.4309932890
0.0548296943,0.4311594370
0.0547676012,0.4313254950
0.0547055081,0.4314916130
0.0546434149,0.4316577020
0.0545813218,0.4318237900
0.0545192286,0.4319899080
0.0544571355,0.4321560560
0.0543950424,0.4323221740
0.0543329492,0.4324883220
0.0542708561,0.4326544400
0.0542087629,0.4349689190
0.0541466698,0.4384605590
0.0540845767,0.4419521990
0.0540224835,0.4454438980
0.0539603904,0.4489356580
0.0538982973,0.4524274170
0.0538362041,0.4559192060
0.0537741110,0.4594110550
0.0537120178,0.4629029630
0.0536499247,0.4663948710
0.0535878316,0.4695926310
0.0535257384,0.4704981150
0.0534636453,0.4715629820
0.0534015521,0.4723054170
0.0533394590,0.4732070270
0.0532773659,0.4741086070
0.0532152727,0.4750102460
0.0531531796,0.4759118560
0.0530910864,0.4768134650
0.0530289933,0.4777151050
0.0529669002,0.4788224100
0.0529048070,0.4787609580
0.0528427139,0.4786450270
0.0527806208,0.4785290960
0.0527185276,0.4785698350
0.0526564345,0.4813590050
0.0525943413,0.4837299880
0.0525322482,0.4858513470
0.0524701551,0.4879727070
0.0524080619,0.4900940660
0.0523459688,0.4922154550
0.0522838756,0.4943368730
0.0522217825,0.4964582620
0.0521596894,0.4985795920
0.0520975962,0.5006307960
0.0520355031,0.5013088580
0.0519734100,0.5019609330
0.0519113168,0.5026129480
0.0518492237,0.5032649640
0.0517871305,0.5039170980
0.0517250374,0.5045690540
0.0516629443,0.5052211880
0.0516008511,0.5058732030
0.0515387580,0.5065253380
0.0514766648,0.5071775320
0.0514145717,0.5095552800
0.0513524786,0.5146043900
0.0512903854,0.5196535590
0.0512282923,0.5247027280
0.0511661991,0.5297519560
0.0511041060,0.5348011850
0.0510420129,0.5398504730
0.0509799197,0.5448997620
0.0509178266,0.5499492290
0.0508557335,0.5549066070
0.0507936403,0.5597239730
0.0507315472,0.5645413990
0.0506694540,0.5684756040
0.0506073609,0.5714336040
0.0505452678,0.5743917230
0.0504831746,0.5773498420
0.0504210815,0.5803079010
0.0503589883,0.5844197270
0.0502968952,0.5887476800
0.0502348021,0.5920569900
0.0501727089,0.5942256450
0.0501106158,0.5963943600
0.0500485227,0.5985631940
0.0499864295,0.5997848510
0.0499243364,0.6007056240
0.0498622432,0.6016263370
0.0498001501,0.6025470500
0.0497380570,0.6034678220
0.0496759638,0.6043885350
0.0496138707,0.6061356660
0.0495517775,0.6103244420
0.0494896844,0.6145132180
0.0494275913,0.6179513930
0.0493654981,0.6209806200
0.0493034050,0.6240100260
0.0492413118,0.6270394330
0.0491792187,0.6300687790
0.0491171256,0.6330981250
0.0490550324,0.6361275320
0.0489929393,0.6391569380
0.0489308462,0.6412398820
0.0488687530,0.6429927350
0.0488066599,0.6447455880
0.0487445667,0.6464984420
0.0486824736,0.6482512350
0.0486203805,0.6500040890
0.0485582873,0.6517569420
0.0484961942,0.6532003880
0.0484341010,0.6542097930
0.0483720079,0.6566741470
0.0483099148,0.6589164730
0.0482478216,0.6602773070
0.0481857285,0.6616381410
0.0481236354,0.6629990340
0.0480615422,0.6643598680
0.0479994491,0.6657207010
0.0479373559,0.6670814750
0.0478752628,0.6684423690
0.0478131697,0.6698032620
0.0477510765,0.6707293990
0.0476889834,0.6713460090
0.0476268902,0.6727064850
0.0475647971,0.6759353880
0.0475027040,0.6791642310
0.0474406108,0.6818749900
0.0473785177,0.6839140060
0.0473164245,0.6859529610
0.0472543314,0.6879919170
0.0471922383,0.6900309920
0.0471301451,0.6908783910
0.0470680520,0.6915839910
0.0470059589,0.6934537890
0.0469438657,0.6960330610
0.0468817726,0.6977656480
0.0468196794,0.6994156240
0.0467575863,0.7016435860
0.0466954932,0.7043096420
0.0466334000,0.7081089620
0.0465713069,0.7125079040
0.0465092137,0.7166590690
0.0464471206,0.7185838220
0.0463850275,0.7205085160
0.0463229343,0.7224332090
0.0462608412,0.7229993940
0.0461987481,0.7226710920
0.0461366549,0.7223429080
0.0460745618,0.7215090390
0.0460124686,0.7222787740
0.0459503755,0.7250499730
0.0458882824,0.7273767590
0.0458261892,0.7283596990
0.0457640961,0.7304961680
0.0457020029,0.7324973340
0.0456399098,0.7344985010
0.0455778167,0.7363510130
0.0455157235,0.7381055360
0.0454536304,0.7396459580
0.0453915372,0.7414186000
0.0453294441,0.7432052490
0.0452673510,0.7443111540
0.0452052578,0.7453478570
0.0451431647,0.7463846800
0.0450810716,0.7474213840
0.0450189784,0.7484582070
0.0449568853,0.7494948510
0.0448947921,0.7505316730
0.0448326990,0.7515683170
0.0447706059,0.7526050810
0.0447085127,0.7536418440
0.0446464196,0.7546785470
0.0445843264,0.7557153110
0.0445222333,0.7567520140
0.0444601402,0.7575789690
0.0443980470,0.7582833170
0.0443359539,0.7589876060
0.0442738608,0.7596918940
0.0442117676,0.7603962420
0.0441496745,0.7611004110
0.0440875813,0.7618047000
0.0440254882,0.7625089880
0.0439633951,0.7632012370
0.0439013019,0.7639156580
0.0438392088,0.7646209000
0.0437771156,0.7653240560
0.0437150225,0.7660272120
0.0436529294,0.7666772010
0.0435908362,0.7672280070
0.0435287431,0.7677440050
0.0434666499,0.7682639360
0.0434045568,0.7688013320
0.0433424637,0.7693228720
0.0432803705,0.7698436380
0.0432182774,0.7703558210
0.0431561843,0.7708848120
0.0430940911,0.7714046240
0.0430319980,0.7719244960
0.0429699048,0.7724443670
0.0429078117,0.7728781700
0.0428457186,0.7731161710
0.0427836254,0.7733362910
0.0427215323,0.7735564710
0.0426594391,0.7737766500
0.0425973460,0.7739968900
0.0425352529,0.7742169500
0.0424731597,0.7744371290
0.0424110666,0.7746573090
0.0423489735,0.7759005430
0.0422868803,0.7772667410
0.0422247872,0.7783734200
0.0421626940,0.7784928080
0.0421006009,0.7786121370
0.0420385078,0.7787314650
0.0419764146,0.7788507940
0.0419143215,0.7789701820
0.0418522283,0.7793653610
0.0417901352,0.7797690030
0.0417280421,0.7801726460
0.0416659489,0.7804353830
0.0416038558,0.7814019920
0.0415417627,0.7824769020
0.0414796695,0.7835515740
0.0414175764,0.7846264840
0.0413554832,0.7857012150
0.0412933901,0.7867760660
0.0412312970,0.7878509760
0.0411692038,0.7884009480
0.0411071107,0.7888936400
0.0410450175,0.7893864510
0.0409829244,0.7898792030
0.0409208313,0.7903584240
0.0408587381,0.7908357980
0.0407966450,0.7900317910
0.0407345518,0.7888882160
0.0406724587,0.7877448200
0.0406103656,0.7867217660
0.0405482724,0.7902112600
0.0404861793,0.7952566150
0.0404240862,0.8003020880
0.0403619930,0.8054121730
0.0402998999,0.8101068740
0.0402378067,0.8148319720
0.0401757136,0.8195570110
0.0401136205,0.8242819910
0.0400515273,0.8290071490
0.0399894342,0.8308485150
0.0399273410,0.8295825120
0.0398652479,0.8274798390
0.0398031548,0.8274290560
0.0397410616,0.8328715560
0.0396789685,0.8357535000
0.0396168754,0.8384149670
0.0395547822,0.8392368560
0.0394926891,0.8400587440
0.0394305959,0.8408807520
0.0393685028,0.8415170310
0.0393064097,0.8419541120
0.0392443165,0.8423910740
0.0391822234,0.8428278570
0.0391201302,0.8432649370
0.0390580371,0.8437020180
0.0389959440,0.8441389200
0.0389338508,0.8446624880
0.0388717577,0.8459222910
0.0388096645,0.8471820350
0.0387475714,0.8477677110
0.0386854783,0.8479666710
0.0386233851,0.8481655120
0.0385612920,0.8487916590
0.0384991989,0.8516188260
0.0384371057,0.8544458750
0.0383750126,0.8572729830
0.0383129194,0.8601000310
0.0382508263,0.8629271390
0.0381887332,0.8657542470
0.0381266400,0.8685814140
0.0380645469,0.8714085220
0.0380024537,0.8742357490
0.0379403606,0.8770628570
0.0378782675,0.8799436690
0.0378161743,0.8844784500
0.0377540812,0.8890320660
0.0376919881,0.8935858610
0.0376298949,0.8979499340
0.0375678018,0.9013398890
0.0375057086,0.9041265850
0.0374436155,0.9062532780
0.0373815224,0.9083800320
0.0373194292,0.9105067250
0.0372573361,0.9122794270
0.0371952429,0.9130098220
0.0371331498,0.9137400980
0.0370710567,0.9144705530
0.0370089635,0.9165075420
0.0369468704,0.9188624020
0.0368847772,0.9212175010
0.0368226841,0.9235725400
0.0367605910,0.9259275200
0.0366984978,0.9282826190
0.0366364047,0.9307748080
0.0365743116,0.9334071280
0.0365122184,0.9329463840
0.0364501253,0.9334303140
0.0363880321,0.9346994760
0.0363259390,0.9359685780
0.0362638459,0.9372376800
0.0362017527,0.9385067220
0.0361396596,0.9397758840
0.0360775664,0.9410449270
0.0360154733,0.9423140880
0.0359533802,0.9435831900
0.0358912870,0.9449692370
0.0358291939,0.9476931100
0.0357671008,0.9480000140
0.0357050076,0.9470084310
0.0356429145,0.9460169080
0.0355808213,0.9450251460
0.0355187282,0.9444187280
0.0354566351,0.9457239510
0.0353945419,0.9470291140
0.0353324488,0.9483343360
0.0352703556,0.9496396780
0.0352082625,0.9509449010
0.0351461694,0.9522501230
0.0350840762,0.9525046940
0.0350219831,0.9535152910
0.0349598899,0.9546564820
0.0348977968,0.9554484490
0.0348357037,0.9561235900
0.0347736105,0.9567987320
0.0347115174,0.9573542480
0.0346494243,0.9572635890
0.0345873311,0.9571729300
0.0345252380,0.9580432770
0.0344631448,0.9586008190
0.0344010517,0.9582410450
0.0343389586,0.9578084350
0.0342768654,0.9576452370
0.0342147723,0.9585883020
0.0341526791,0.9595313670
0.0340905860,0.9602733850
0.0340284929,0.9605080490
0.0339663997,0.9608457090
0.0339043066,0.9603670240
0.0338422135,0.9598882790
0.0337801203,0.9594095350
0.0337180272,0.9595202210
0.0336559340,0.9598436360
0.0335938409,0.9601610900
0.0335317478,0.9604786040
0.0334696546,0.9607893230
0.0334075615,0.9609215860
0.0333454683,0.9610811470
0.0332833752,0.9613492490
0.0332212821,0.9615768790
0.0331591889,0.9614634510
0.0330970958,0.9613612290
0.0330350026,0.9612501260
0.0329729095,0.9611325260
0.0329108164,0.9611443880
0.0328487232,0.9616807700
0.0327866301,0.9620206950
0.0327245370,0.9621862170
0.0326624438,0.9623374340
0.0326003507,0.9624887110
0.0325382575,0.9625961180
0.0324761644,0.9626786110
0.0324140713,0.9627454880
0.0323519781,0.9627924560
0.0322898850,0.9626122710
0.0322277918,0.9623466130
0.0321656987,0.9623602030
0.0321036056,0.9627680180
0.0320415124,0.9633208510
0.0319794193,0.9639243480
0.0319173262,0.9645345810
0.0318552330,0.9646041990
0.0317931399,0.9644358160
0.0317310467,0.9643222090
0.0316689536,0.9642083640
0.0316068605,0.9642808440
0.0315447673,0.9646598700
0.0314826742,0.9647629260
0.0314205810,0.9652375580
0.0313584879,0.9660779830
0.0312963948,0.9668377640
0.0312343035,0.9669712780
0.0311722122,0.9668270950
0.0311101209,0.9666214590
