Time [ s ],coil12_Center [K],coil12_nearcoil [K],coil12_oncoil [K]
0.1000000010,293.1606140000,293.1769100000,293.2146610000
0.2000000030,293.1782840000,293.2220150000,293.3238830000
0.3000000120,293.2054440000,293.2911680000,293.4908140000
0.4000000060,293.2426450000,293.3858340000,293.7196040000
0.5000000000,293.2899780000,293.5063780000,294.0109860000
0.6000000240,293.3475040000,293.6526490000,294.3648680000
0.6999999880,293.4149170000,293.8241580000,294.7802120000
0.8000000120,293.4920960000,294.0205990000,295.2559510000
0.9000000360,293.5788570000,294.2415160000,295.7915650000
1.0000000000,293.6750790000,294.4864810000,296.3859560000
1.1000000200,293.7736210000,294.7372440000,296.9952700000
1.2000000500,293.8717040000,294.9869690000,297.6029660000
1.3000000700,293.9683840000,295.2334900000,298.2036440000
1.3999999800,294.0635680000,295.4762270000,298.7959290000
1.5000000000,294.1571660000,295.7150270000,299.3792110000
1.6000000200,294.2491760000,295.9498900000,299.9535830000
1.7000000500,294.3394780000,296.1807250000,300.5191350000
1.8000000700,294.4282530000,296.4076840000,301.0758060000
1.8999999800,294.5154720000,296.6308290000,301.6237490000
2.0000000000,294.6011960000,296.8501890000,302.1632690000
2.1000001400,294.6853330000,297.0658260000,302.6943050000
2.2000000500,294.7681270000,297.2778630000,303.2170100000
2.2999999500,294.8494260000,297.4862980000,303.7317200000
2.4000001000,294.9292600000,297.6911930000,304.2384340000
2.5000000000,295.0077210000,297.8925780000,304.7371520000
2.6000001400,295.0849000000,298.0906370000,305.2281490000
2.7000000500,295.1606450000,298.2853090000,305.7114870000
2.7999999500,295.2350460000,298.4766540000,306.1872860000
2.9000001000,295.3082280000,298.6648560000,306.6559140000
3.0000000000,295.3800660000,298.8498230000,307.1171260000
3.1000001400,295.4506530000,299.0316770000,307.5711670000
3.2000000500,295.5200200000,299.2105100000,308.0180360000
3.2999999500,295.5881960000,299.3862610000,308.4580080000
3.4000001000,295.6551820000,299.5590210000,308.8910830000
3.5000000000,295.7209470000,299.7288820000,309.3174440000
3.6000001400,295.7855830000,299.8958440000,309.7370910000
3.7000000500,295.8490910000,300.0599980000,310.1502990000
3.7999999500,295.9114990000,300.2214360000,310.5570370000
3.9000001000,295.9728700000,300.3801270000,310.9574580000
4.0000000000,296.0331420000,300.5361330000,311.3516540000
4.0999999000,296.0922850000,300.6894530000,311.7394410000
4.2000002900,296.1504820000,300.8402400000,312.1211850000
4.3000001900,296.2076420000,300.9884640000,312.4970400000
4.4000001000,296.2637630000,301.1341550000,312.8670960000
4.5000000000,296.3189390000,301.2773740000,313.2312620000
4.5999999000,296.3731690000,301.4181820000,313.5898130000
4.7000002900,296.4264220000,301.5566100000,313.9428710000
4.8000001900,296.4787600000,301.6927190000,314.2903440000
4.9000001000,296.5301510000,301.8265080000,314.6324160000
5.0000000000,296.5806880000,301.9580380000,314.9691160000
5.0999999000,296.6303710000,302.0874020000,315.3006590000
5.2000002900,296.6791080000,302.2145690000,315.6268920000
5.3000001900,296.7270810000,302.3395390000,315.9479680000
5.4000001000,296.7740780000,302.4623720000,316.2641300000
5.5000000000,296.8203430000,302.5831300000,316.5752560000
5.5999999000,296.8658450000,302.7018740000,316.8816830000
5.7000002900,296.9105530000,302.8186650000,317.1833190000
5.8000001900,296.9544680000,302.9334110000,317.4802550000
5.9000001000,296.9975280000,303.0462040000,317.7725520000
6.0000000000,297.0398560000,303.1571660000,318.0602110000
6.0999999000,297.0815120000,303.2662350000,318.3432920000
6.2000002900,297.1224060000,303.3734740000,318.6221010000
6.3000001900,297.1625980000,303.4788510000,318.8964840000
6.4000001000,297.2020570000,303.5823970000,319.1665650000
6.5000000000,297.2407840000,303.6841740000,319.4323730000
6.5999999000,297.2789610000,303.7843320000,319.6940920000
6.7000002900,297.3164980000,303.8828130000,319.9516600000
6.8000001900,297.3532410000,303.9795840000,320.2053830000
6.9000001000,297.3893740000,304.0747380000,320.4548340000
7.0000000000,297.4248960000,304.1682740000,320.7004700000
7.0999999000,297.4598080000,304.2601930000,320.9422000000
7.2000002900,297.4940490000,304.3505550000,321.1802980000
7.3000001900,297.5277400000,304.4394530000,321.4146420000
7.4000001000,297.5609440000,304.5268550000,321.6452640000
7.5000000000,297.5933840000,304.6127010000,321.8721920000
7.5999999000,297.6253360000,304.6971130000,322.0955510000
7.7000002900,297.6567380000,304.7801210000,322.3153990000
7.8000001900,297.6875920000,304.8617250000,322.5319520000
7.9000001000,297.7179260000,304.9419860000,322.7450560000
8.0000000000,297.7477110000,305.0208740000,322.9548030000
8.1000003800,297.7769470000,305.0983580000,323.1613160000
8.1999998100,297.8057560000,305.1745610000,323.3645630000
8.3000001900,297.8339840000,305.2495120000,323.5645450000
8.4000005700,297.8617250000,305.3231200000,323.7614140000
8.5000000000,297.8890380000,305.3955380000,323.9551390000
8.6000003800,297.9158330000,305.4666750000,324.1459660000
8.6999998100,297.9420780000,305.5365910000,324.3335880000
8.8000001900,297.9679570000,305.6053470000,324.5183410000
8.9000005700,297.9933470000,305.6729430000,324.7002260000
9.0000000000,298.0183410000,305.7394100000,324.8791810000
9.1000003800,298.0428770000,305.8047180000,325.0552980000
9.1999998100,298.0668950000,305.8689270000,325.2286070000
9.3000001900,298.0906980000,305.9320680000,325.3992310000
9.4000005700,298.1139830000,305.9941710000,325.5672610000
9.5000000000,298.1367800000,306.0551760000,325.7326050000
9.6000003800,298.1592710000,306.1151730000,325.8953250000
9.6999998100,298.1813660000,306.1741640000,326.0556340000
9.8000001900,298.2030640000,306.2321470000,326.2134090000
9.9000005700,298.2243350000,306.2890930000,326.3686520000
10.0000000000,298.2453310000,306.3451230000,326.5214230000
10.1000004000,298.2322080000,306.3114010000,326.4572750000
10.1999998000,298.1728210000,306.1555790000,326.0998840000
10.3000002000,298.0944210000,305.9571230000,325.6392520000
10.4000006000,298.0112610000,305.7479250000,325.1496280000
10.5000000000,297.9273380000,305.5375670000,324.6555790000
10.6000004000,297.8443300000,305.3290100000,324.1651610000
10.6999998000,297.7624820000,305.1234440000,323.6810000000
10.8000002000,297.6820070000,304.9211120000,323.2041020000
10.9000006000,297.6029660000,304.7222600000,322.7344060000
11.0000000000,297.5252380000,304.5266420000,322.2718810000
11.1000004000,297.4489140000,304.3343200000,321.8164670000
11.1999998000,297.3738710000,304.1452330000,321.3680110000
11.3000002000,297.3001100000,303.9593510000,320.9264530000
11.4000006000,297.2277530000,303.7766110000,320.4917300000
11.5000000000,297.1566470000,303.5970150000,320.0636900000
11.6000004000,297.0867610000,303.4203800000,319.6422120000
11.6999998000,297.0181580000,303.2467350000,319.2273250000
11.8000002000,296.9506840000,303.0760500000,318.8189700000
11.9000006000,296.8844600000,302.9082640000,318.4169010000
12.0000000000,296.8193660000,302.7432560000,318.0210880000
